4823.2	32966	14246	1796256	-44380	723158	26.6	670439	75.6	39.6
7305.6	50192	16605	2349415	137619	1190597	28	1165234	105.1	44.8
9039.4	62448	20241	3063430	264324	1141253	36.6	1504523	101.9	53.7
10863.4	75497	24313	3753649	96964	923320	47.8	175868	107.3	61
13208	91365	32173	4529633	173815	1456171	76.9	2186365	135.9	76.1
17027	118391	34874	5642498	760232	2485439	124.5	2865014	183.2	97.4
21610	150997	41494	7041509	1758992	3225916	182.2	3611109	243.8	125.4
26917	188910	47489	8711920	2250584	5721598	303.7	4730023	303.6	164.3
33248	233948	60391	10868976	1989684	6040922	478.8	6716222	354.4	223.5
41429	291840	74471	13920732	2012072	3801161	426.3	8781616	471.6	291.9
39101	275533	82539	14602528	-2448618	4431609	439.5	7930255	303.4	191.8
46309	324177	93186	16512047	-1584726	6330589	479.4	9152096	392.7	245.7
55967	391486	108001	19104336	860724	7139536	498.6	11035652	515.4	318.6
62176	434188	121269	21394526	260387	7824538	537.6	12586090	527.4	335.8
66190	461233	133522	23685914	-848224	6853753	509.6	13450238	523.3	341.3
66190	488782	146359	26356237	-845586	4346793	385.5	13557515	497.8	308
83387	569561	160725	27526793	-2819493	7502736	368.4	13897188	341.4	193
86149	587345	183404	28305595	-3142138	12801581	377.7	14748847	281.7	191.5
92037	626775	194649	29813334	-1349074	9036848	432.7	15966804	353.5	238.1
103876	707453	206487	31579000	3036200	13797163	468.5	17595000	444	249.1
